통계표,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,
5.2.2. 수익성 지표,5.08,4.87,4.14,0.33,3.49,3.59,4.63,1.4,6.43,8.6,8.35,5.93,8.56,8.42,5.59,-0.81,4.74,5.73,
소비자물가지수,-0.348,0.436,-0.072,0.278,0.316,-0.513,0.637,0.013,1.287,0.54,0.7,1.026,1.597,2.193,1.22,0.434,1.15,0.67,
소비자동향조사,1.7,0.067,-3.833,4.833,-6.667,-15.933,7,8.933,3.5,8.3,-2.7,3,-2.5,-2.6,-12.266,-0.334,2.334,6.966,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
