com_cd,branch_cd,part_no,week,year,start_date,end_date,actual
LGEAI,NAF,TEST_1045,30,2018,2018-07-23,2018-07-29,0
LGEAI,NAF,TEST_1045,31,2018,2018-07-30,2018-08-05,0
LGEAI,NAF,TEST_1045,32,2018,2018-08-06,2018-08-12,0
LGEAI,NAF,TEST_1045,33,2018,2018-08-13,2018-08-19,0
LGEAI,NAF,TEST_1045,34,2018,2018-08-20,2018-08-26,0
LGEAI,NAF,TEST_1045,35,2018,2018-08-27,2018-09-02,0
LGEAI,NAF,TEST_1045,36,2018,2018-09-03,2018-09-09,0
LGEAI,NAF,TEST_1045,37,2018,2018-09-10,2018-09-16,0
LGEAI,NAF,TEST_1045,38,2018,2018-09-17,2018-09-23,0
LGEAI,NAF,TEST_1045,39,2018,2018-09-24,2018-09-30,0
LGEAI,NAF,TEST_1045,40,2018,2018-10-01,2018-10-07,0
LGEAI,NAF,TEST_1045,41,2018,2018-10-08,2018-10-14,0
LGEAI,NAF,TEST_1045,42,2018,2018-10-15,2018-10-21,0
LGEAI,NAF,TEST_1045,43,2018,2018-10-22,2018-10-28,0
LGEAI,NAF,TEST_1045,44,2018,2018-10-29,2018-11-04,0
LGEAI,NAF,TEST_1045,45,2018,2018-11-05,2018-11-11,0
LGEAI,NAF,TEST_1045,46,2018,2018-11-12,2018-11-18,0
LGEAI,NAF,TEST_1045,47,2018,2018-11-19,2018-11-25,0
LGEAI,NAF,TEST_1045,48,2018,2018-11-26,2018-12-02,0
LGEAI,NAF,TEST_1045,49,2018,2018-12-03,2018-12-09,0
LGEAI,NAF,TEST_1045,50,2018,2018-12-10,2018-12-16,0
LGEAI,NAF,TEST_1045,51,2018,2018-12-17,2018-12-23,0
LGEAI,NAF,TEST_1045,52,2018,2018-12-24,2018-12-30,0
LGEAI,NAF,TEST_1045,1,2019,2018-12-31,2019-01-06,0
LGEAI,NAF,TEST_1045,2,2019,2019-01-07,2019-01-13,0
LGEAI,NAF,TEST_1045,3,2019,2019-01-14,2019-01-20,0
LGEAI,NAF,TEST_1045,4,2019,2019-01-21,2019-01-27,0
LGEAI,NAF,TEST_1045,5,2019,2019-01-28,2019-02-03,0
LGEAI,NAF,TEST_1045,6,2019,2019-02-04,2019-02-10,0
LGEAI,NAF,TEST_1045,7,2019,2019-02-11,2019-02-17,0
LGEAI,NAF,TEST_1045,8,2019,2019-02-18,2019-02-24,0
LGEAI,NAF,TEST_1045,9,2019,2019-02-25,2019-03-03,0
LGEAI,NAF,TEST_1045,10,2019,2019-03-04,2019-03-10,0
LGEAI,NAF,TEST_1045,11,2019,2019-03-11,2019-03-17,0
LGEAI,NAF,TEST_1045,12,2019,2019-03-18,2019-03-24,0
LGEAI,NAF,TEST_1045,13,2019,2019-03-25,2019-03-31,0
LGEAI,NAF,TEST_1045,14,2019,2019-04-01,2019-04-07,0
LGEAI,NAF,TEST_1045,15,2019,2019-04-08,2019-04-14,0
LGEAI,NAF,TEST_1045,16,2019,2019-04-15,2019-04-21,0
LGEAI,NAF,TEST_1045,17,2019,2019-04-22,2019-04-28,0
LGEAI,NAF,TEST_1045,18,2019,2019-04-29,2019-05-05,0
LGEAI,NAF,TEST_1045,19,2019,2019-05-06,2019-05-12,0
LGEAI,NAF,TEST_1045,20,2019,2019-05-13,2019-05-19,0
LGEAI,NAF,TEST_1045,21,2019,2019-05-20,2019-05-26,0
LGEAI,NAF,TEST_1045,22,2019,2019-05-27,2019-06-02,0
LGEAI,NAF,TEST_1045,23,2019,2019-06-03,2019-06-09,0
LGEAI,NAF,TEST_1045,24,2019,2019-06-10,2019-06-16,0
